Message,Value
okk,0
Abhinav log ko sbko bhej,0
Aur groups mt bhejna,-1
12 baje aana,0
Kahe zoom se bhag gai,-1
bhai kya ho raha.,0
Subscribe kara dost ko bhej kr,1
pdhai ho rahi hogi kubb tumru,1
Channel subscribe karwa sabse,0
abe tum hi send kar doona,0
Abe mai kr diya,1
Tm bhi apne dosto ko bhej d9,0
okay kar duga,1
Abhi karo ð¯ pahuchne wala hai,-1
Bhai isko sabhi ko bhej,0
Subscribe kr de,0
Abe Mia kaha hu,-1
Ki zoom I'd aur password,0
Aur beta patel,-1
Party time bri,1
Electra hai na,1
Nhi classes 350 es,-1
Kon si agency se hai,0
Bhai ek request,-1
Abe mai yaha abhi hu nhi,-1
Ek kaam kar,1
Ki demo test de nhi pai,-1
Net conntivity ki karan,-1
Likh dena gaun hai,0
Next time karenge,1
Sham tk aaj,1
Mang rahe hai sir,1
Kitne baje doge,0
Sign kon karega,0
F name batao sign kar du,-1
Bhej bana kar,0
Bhai sign shi se kar,-1
sale English likho ho ki khaidi,-1
thik hai de doo aise hi,0
Mai likh kr bheju,0
Type kar le,0
Tum likh dena,1
Issi ko likh kr,0
Thoda bekar sign maro,-1
Sidha sign mat karna,-1
Plz bhai likh ek baar,0
Plesae ek last,0
Vo nisha ko bheje gaa,0
Letter likhana nhi aata,-1
Abe rajesh bol raha hai,-1
Principal kr name se,0
Abe class teacher cut karte principal,0
Uske uper paste kar,0
Dushre page se,0
Abb kuch boli mtt suna,-1
Abe reply aane asir kaa,-1
Koi nhi bhai ho,-1
Sale doo barr latter likhe ho ,-1
sab thik hai naa,-1
Bs tibuyat kharab hai jyada,-1
Ja raha kana kany,1
Abe kahi non veg mil raha hai udhar,0
Ya bhi banaoo,0
Sale me hafte me doo din kha raha hu,0
Ek din mere liye mangwa kar,0
2 mahina ho raha hai,0
Ya saala mili nhi raha hai,-1
Paise bolo cash ya paytm,0
Murga mil jayee best,0
Chicken le kar bana lo naa,0
Abhi mere ghar pr bann nhi sakta,-1
Mere yaha bhi yhi hai,1
Acha khin bana banaya milta hai,0
Chahe non veg Biryani,0
Online order kar lo,-1
Bahar ka acha nhi hai hai,-1
Ghar hi banvaao,0
Abhi nhi ho pay gaa,-1
Kuch den wait karo,1
Jhatu profile pic hataao,-1
Sbko bhej subscribe ke liye,0
Shikha ko bhi bhej,1
Ki saare dost ko bhej ke subscribe kara,0
Aisa message ana chahiye tha nam ke sath,0
Per nhi ayaa,-1
Saara answer bhejo,0
Answer kaha se duu,-1
12 A2 waleke bhej diye,0
Pareshhan kar diye,-1
Abhi ydd aya,1
Mera hi. Timeout karna thað ð ,-1
Green se lika tha best,1
Matlb aahi hai sab,0
sale kitna time lagai,-1
Ki timeout ho gea,-1
Pakka timeout hua hai,-1
Nhi rajesh ho application bheje,-1
Rajesh bheja hai,1
Sir ko mai screenshot bheja,1
Vo bol rahe bhejna,1
Mai bola kal ka paper dekh le uske baad,1
Ha ye thik hai,0
Abhi kuch matt likna,-1
Kal bhaiya timeout naaa hoo,1
Kal nhi abb 9 ko hai,-1
Tmhara ans submit hua hai,0
Dobara timeout naa hoo,1
9 ko kis subject ka hai,0
Thik hai yrr,1
Password change kar lo id ka,1
humko new password de,0
Tum kar lo,0
Apne hisab se,1
Bkkk tum karo yrr,0
Wahi rahne phir,0
Group me present lik doo,0
Ab kb hai paper,0
20 ayega pakka,1
Sir ip ka test ka link diye hai,0
Mai done bol dunga grp,0
Sudhir name se,0
Net nhi chal raha,-1
Mer name daal ke,0
Ki abhi nhi,-1
Kal ka paper na debb,-1
Kl Shikha ka msg aaya. Tha,0
Dil pr mat liya karo,0
Missed video call,-1
Ab mera math ka paper phir se hoga,1
Mera I'd password bhejo,0
School se phone aaya tha,0
Sahi hai abb tum hi dooððððð¤£,1
Lekin tm optional ka de dena,0
Kl tum de dena,1
Vo wala baad hoga,0
Bhulna mat kal,0
De diye ip ka,0
De dea lekin galt ho gee,-1
Ha ek do aage piche,0
Aage hona chahiye,1
Abe recharge kara,0
Sale paisa nhi hai,-1
Paytm karo kar de,0
Le lo muh me,-1
Nhi humka chaii,-1
Shikha roz online aa rhai hai,0
2 din se main baat kr raha,0
Sahi hai kro naa,1
Socha tmhara patta na cut ho jai,-1
liye band kar diya,1
Ja be bsdk,-1
me kon sa rokaya hu,1
Tum phir single ho jaao ge dekha nhi jaiga,-1
Koi batt nhi,1
Tum batiaao hume koi dikkat nhi,1
Abe grp sare teacher leave q kar rahe,-1
Pata nhi yrr,-1
Symmer vacation ho gea naa,1
Islliye sb group left kr rahe,-1
Mera report card,0
Bsdk kya paper paye ho,-1
Bookay aa gai,1
Kitne ki hai,0
Ip ki nhi mili ka,-1
Ip ki Septembe launch hogi,1
Sab edar udar laga diya me,-1
Abe ek kaam kar,0
Bhai gao me hu,0
Abe activities bhejo,0
Nhi hua abhi,-1
Tm apna Ã 4 Paper wala bhejo,0
Mai bhi dekh kr bana lu,0
me sir ko de dea hu,0
Mujho bhi de di,-1
Photo hi mang raha,0
Mera hi matt de dena,-1
Shikha ki kasam,-1
Yahi bana ke de du,0
Abe kal se phir lockdown,-1
Aur bhai physics chemistry kaa,0
Chalo bhej dena,0
Lock mein A4 page nahin milega,0
me laptop me banuga,0
Pfd sab ka,0
Kis subject ppt dena hai,0
Shivam kitna jhut bolte hai,-1
Sanjaye sir Google form pe homework mange hai,0
Ab hmko bhej,0
Uu dusar hai,0
Uh kaun sa hai,0
Abe Vivek se baat kro,0
Kl bhejna hai,0
sale phone nhi hai uske pass,-1
abe ksii no. se phone kiya tha,0
no. du tum kar lo,0
Ppt Kis subject ki bhejna hai,0
Chemistry nhi math,-1
Activities 1 bhejjo,0
Abe submit kar,0
Nhi ho raha hai,-1
Bhait baar try kiye,-1
me kar duu,0
Screenshot bhej dena,1
